431,12,flow,,,,,,,,,,
num,name,east,north,power,magnitude,shape,type,sfi,ohmS,lwi,geol,flow
229,b229,768352,1060887,50,75,V,CP,0,0,0,GEOSYN. GRANITES,0
230,b230,765888,1054868,60,87,U,NC,0,0,0,GEOSYN. GRANITES,0
231,b231,772458,1054530,60,10,V,NC,0,395.6767,45.6796117,GRANITES,0
232,b232,775843,1053609,110,314,V,CP,1.349931128,1594.974336,32.04946903,VOLCANO-SEDIM. SCHISTS,2
233,b233,775217,1055757,100,205,V,CB2P,1.32859631,1249.368827,34.5976923,GNEISS-MIGMATITES,1.3
234,b234,774008,1051222,130,445,K,CP,1.285648693,873.1094799,50.1604027,GNEISS-MIGMATITES,3
235,b235,777048,1053922,90,58,V,CB2P,0.42044187,767.5625,,GNEISS-MIGMATITES,1
236,b236,779909,1080347,80,27,V,CP,0.179669405,1244.928566,36.3705405,GRANITES,0.9
237,b237,750348,1046402,90,96,V,CB2P,1.091619983,767.5625,,GRANITES,0.7
238,b238,748690,1079390,270,467,V,CP,0.449977043,812.3334505,33.4445783,GRANITES,9
239,b239,785844,1050875,70,10,V,CB2P,0,0,2.3283856,GRANITES,0
240,b240,777836,1057377,80,60,W,NC,0.449977043,1344.043714,25.5604045,GRANITES,1
241,b241,772281,1057337,88,58,V,CB2P,0.42044187,1113.43977,48.6924233,GRANITES,1
242,b242,769019,1051498,100,95,V,CP,0.407817108,1823.986046,9.2166667,VOLCANO-SEDIM. SCHISTS,1.9
243,b243,762364,1058310,70,90,V,NC,0.22760399,2390.7985,7.812,VOLCANO-SEDIM. SCHISTS,1
244,b244,755132,1062138,70,72,C,NC,0.267444398,1037.469397,23.3689655,GRANITES,1
245,b245,751669,1063754,290,1425,U,NC,1.204510973,965.4608,26.23,VOLCANO-SEDIM. SCHISTS,10
246,b246,774964,1080470,70,90,V,NC,0.529415007,767.5625,0,VOLCANO-SEDIM. SCHISTS,1.2
247,b247,743108,1064444,130,88,W,EC,0.22627417,1307.652372,9.7113907,VOLCANO-SEDIM. SCHISTS,3.2
248,b248,742109,1056386,50,13,U,NC,0,0,0,VOLCANO-SEDIM. SCHISTS,0
249,b249,759426,1048897,90,282,V,NC,1.228161291,1016.925059,6.4062162,GEOSYN. GRANITES,1.9
250,b250,755421,1041415,110,45,U,CB2P,0.339411256,2589.948214,7.5285714,VOLCANO-SEDIM. SCHISTS,1
251,b251,744474,1085027,160,725,K,CP,1.400955308,1182.816503,16.1368571,VOLCANO-SEDIM. SCHISTS,4.5
252,b252,792785,1085230,90,430,W,NC,1.300036617,772.0107759,12.9,VOLCANO-SEDIM. SCHISTS,2.9
